verb,mode,tense,person,term
surveiller,Infinitif,Infinitif Présent,,surveiller
surveiller,Indicatif,Présent,1s,surveille
surveiller,Indicatif,Présent,2s,surveilles
surveiller,Indicatif,Présent,3s,surveille
surveiller,Indicatif,Présent,1p,surveillons
surveiller,Indicatif,Présent,2p,surveillez
surveiller,Indicatif,Présent,3p,surveillent
surveiller,Indicatif,Imparfait,1s,surveillais
surveiller,Indicatif,Imparfait,2s,surveillais
surveiller,Indicatif,Imparfait,3s,surveillait
surveiller,Indicatif,Imparfait,1p,surveillions
surveiller,Indicatif,Imparfait,2p,surveilliez
surveiller,Indicatif,Imparfait,3p,surveillaient
surveiller,Indicatif,Futur,1s,surveillerai
surveiller,Indicatif,Futur,2s,surveilleras
surveiller,Indicatif,Futur,3s,surveillera
surveiller,Indicatif,Futur,1p,surveillerons
surveiller,Indicatif,Futur,2p,surveillerez
surveiller,Indicatif,Futur,3p,surveilleront
surveiller,Indicatif,Passé Simple,1s,surveillai
surveiller,Indicatif,Passé Simple,2s,surveillas
surveiller,Indicatif,Passé Simple,3s,surveilla
surveiller,Indicatif,Passé Simple,1p,surveillâmes
surveiller,Indicatif,Passé Simple,2p,surveillâtes
surveiller,Indicatif,Passé Simple,3p,surveillèrent
surveiller,Conditionnel,Présent,1s,surveillerais
surveiller,Conditionnel,Présent,2s,surveillerais
surveiller,Conditionnel,Présent,3s,surveillerait
surveiller,Conditionnel,Présent,1p,surveillerions
surveiller,Conditionnel,Présent,2p,surveilleriez
surveiller,Conditionnel,Présent,3p,surveilleraient
surveiller,Subjonctif,Présent,1s,surveille
surveiller,Subjonctif,Présent,2s,surveilles
surveiller,Subjonctif,Présent,3s,surveille
surveiller,Subjonctif,Présent,1p,surveillions
surveiller,Subjonctif,Présent,2p,surveilliez
surveiller,Subjonctif,Présent,3p,surveillent
surveiller,Subjonctif,Imparfait,1s,surveillasse
surveiller,Subjonctif,Imparfait,2s,surveillasses
surveiller,Subjonctif,Imparfait,3s,surveillât
surveiller,Subjonctif,Imparfait,1p,surveillassions
surveiller,Subjonctif,Imparfait,2p,surveillassiez
surveiller,Subjonctif,Imparfait,3p,surveillassent
surveiller,Imperatif,Imperatif Présent,2s,surveille
surveiller,Imperatif,Imperatif Présent,1p,surveillons
surveiller,Imperatif,Imperatif Présent,2p,surveillez
surveiller,Participe,Participe Présent,,surveillant
surveiller,Participe,Participe Passé,ms,surveillé
surveiller,Participe,Participe Passé,mp,surveillés
surveiller,Participe,Participe Passé,fs,surveillée
surveiller,Participe,Participe Passé,fp,surveillées
guider,Infinitif,Infinitif Présent,,guider
guider,Indicatif,Présent,1s,guide
guider,Indicatif,Présent,2s,guides
guider,Indicatif,Présent,3s,guide
guider,Indicatif,Présent,1p,guidons
guider,Indicatif,Présent,2p,guidez
guider,Indicatif,Présent,3p,guident
guider,Indicatif,Imparfait,1s,guidais
guider,Indicatif,Imparfait,2s,guidais
guider,Indicatif,Imparfait,3s,guidait
guider,Indicatif,Imparfait,1p,guidions
guider,Indicatif,Imparfait,2p,guidiez
guider,Indicatif,Imparfait,3p,guidaient
guider,Indicatif,Futur,1s,guiderai
guider,Indicatif,Futur,2s,guideras
guider,Indicatif,Futur,3s,guidera
guider,Indicatif,Futur,1p,guiderons
guider,Indicatif,Futur,2p,guiderez
guider,Indicatif,Futur,3p,guideront
guider,Indicatif,Passé Simple,1s,guidai
guider,Indicatif,Passé Simple,2s,guidas
guider,Indicatif,Passé Simple,3s,guida
guider,Indicatif,Passé Simple,1p,guidâmes
guider,Indicatif,Passé Simple,2p,guidâtes
guider,Indicatif,Passé Simple,3p,guidèrent
guider,Conditionnel,Présent,1s,guiderais
guider,Conditionnel,Présent,2s,guiderais
guider,Conditionnel,Présent,3s,guiderait
guider,Conditionnel,Présent,1p,guiderions
guider,Conditionnel,Présent,2p,guideriez
guider,Conditionnel,Présent,3p,guideraient
guider,Subjonctif,Présent,1s,guide
guider,Subjonctif,Présent,2s,guides
guider,Subjonctif,Présent,3s,guide
guider,Subjonctif,Présent,1p,guidions
guider,Subjonctif,Présent,2p,guidiez
guider,Subjonctif,Présent,3p,guident
guider,Subjonctif,Imparfait,1s,guidasse
guider,Subjonctif,Imparfait,2s,guidasses
guider,Subjonctif,Imparfait,3s,guidât
guider,Subjonctif,Imparfait,1p,guidassions
guider,Subjonctif,Imparfait,2p,guidassiez
guider,Subjonctif,Imparfait,3p,guidassent
guider,Imperatif,Imperatif Présent,2s,guide
guider,Imperatif,Imperatif Présent,1p,guidons
guider,Imperatif,Imperatif Présent,2p,guidez
guider,Participe,Participe Présent,,guidant
guider,Participe,Participe Passé,ms,guidé
guider,Participe,Participe Passé,mp,guidés
guider,Participe,Participe Passé,fs,guidée
guider,Participe,Participe Passé,fp,guidées
placer,Infinitif,Infinitif Présent,,placer
placer,Indicatif,Présent,1s,place
placer,Indicatif,Présent,2s,places
placer,Indicatif,Présent,3s,place
placer,Indicatif,Présent,1p,plaçons
placer,Indicatif,Présent,2p,placez
placer,Indicatif,Présent,3p,placent
placer,Indicatif,Imparfait,1s,plaçais
placer,Indicatif,Imparfait,2s,plaçais
placer,Indicatif,Imparfait,3s,plaçait
placer,Indicatif,Imparfait,1p,placions
placer,Indicatif,Imparfait,2p,placiez
placer,Indicatif,Imparfait,3p,plaçaient
placer,Indicatif,Futur,1s,placerai
placer,Indicatif,Futur,2s,placeras
placer,Indicatif,Futur,3s,placera
placer,Indicatif,Futur,1p,placerons
placer,Indicatif,Futur,2p,placerez
placer,Indicatif,Futur,3p,placeront
placer,Indicatif,Passé Simple,1s,plaçai
placer,Indicatif,Passé Simple,2s,plaças
placer,Indicatif,Passé Simple,3s,plaça
placer,Indicatif,Passé Simple,1p,plaçâmes
placer,Indicatif,Passé Simple,2p,plaçâtes
placer,Indicatif,Passé Simple,3p,placèrent
placer,Conditionnel,Présent,1s,placerais
placer,Conditionnel,Présent,2s,placerais
placer,Conditionnel,Présent,3s,placerait
placer,Conditionnel,Présent,1p,placerions
placer,Conditionnel,Présent,2p,placeriez
placer,Conditionnel,Présent,3p,placeraient
placer,Subjonctif,Présent,1s,place
placer,Subjonctif,Présent,2s,places
placer,Subjonctif,Présent,3s,place
placer,Subjonctif,Présent,1p,placions
placer,Subjonctif,Présent,2p,placiez
placer,Subjonctif,Présent,3p,placent
placer,Subjonctif,Imparfait,1s,plaçasse
placer,Subjonctif,Imparfait,2s,plaçasses
placer,Subjonctif,Imparfait,3s,plaçât
placer,Subjonctif,Imparfait,1p,plaçassions
placer,Subjonctif,Imparfait,2p,plaçassiez
placer,Subjonctif,Imparfait,3p,plaçassent
placer,Imperatif,Imperatif Présent,2s,place
placer,Imperatif,Imperatif Présent,1p,plaçons
placer,Imperatif,Imperatif Présent,2p,placez
placer,Participe,Participe Présent,,plaçant
placer,Participe,Participe Passé,ms,placé
placer,Participe,Participe Passé,mp,placés
placer,Participe,Participe Passé,fs,placée
placer,Participe,Participe Passé,fp,placées
plier,Infinitif,Infinitif Présent,,plier
plier,Indicatif,Présent,1s,plie
plier,Indicatif,Présent,2s,plies
plier,Indicatif,Présent,3s,plie
plier,Indicatif,Présent,1p,plions
plier,Indicatif,Présent,2p,pliez
plier,Indicatif,Présent,3p,plient
plier,Indicatif,Imparfait,1s,pliais
plier,Indicatif,Imparfait,2s,pliais
plier,Indicatif,Imparfait,3s,pliait
plier,Indicatif,Imparfait,1p,pliions
plier,Indicatif,Imparfait,2p,pliiez
plier,Indicatif,Imparfait,3p,pliaient
plier,Indicatif,Futur,1s,plierai
plier,Indicatif,Futur,2s,plieras
plier,Indicatif,Futur,3s,pliera
plier,Indicatif,Futur,1p,plierons
plier,Indicatif,Futur,2p,plierez
plier,Indicatif,Futur,3p,plieront
plier,Indicatif,Passé Simple,1s,pliai
plier,Indicatif,Passé Simple,2s,plias
plier,Indicatif,Passé Simple,3s,plia
plier,Indicatif,Passé Simple,1p,pliâmes
plier,Indicatif,Passé Simple,2p,pliâtes
plier,Indicatif,Passé Simple,3p,plièrent
plier,Conditionnel,Présent,1s,plierais
plier,Conditionnel,Présent,2s,plierais
plier,Conditionnel,Présent,3s,plierait
plier,Conditionnel,Présent,1p,plierions
plier,Conditionnel,Présent,2p,plieriez
plier,Conditionnel,Présent,3p,plieraient
plier,Subjonctif,Présent,1s,plie
plier,Subjonctif,Présent,2s,plies
plier,Subjonctif,Présent,3s,plie
plier,Subjonctif,Présent,1p,pliions
plier,Subjonctif,Présent,2p,pliiez
plier,Subjonctif,Présent,3p,plient
plier,Subjonctif,Imparfait,1s,pliasse
plier,Subjonctif,Imparfait,2s,pliasses
plier,Subjonctif,Imparfait,3s,pliât
plier,Subjonctif,Imparfait,1p,pliassions
plier,Subjonctif,Imparfait,2p,pliassiez
plier,Subjonctif,Imparfait,3p,pliassent
plier,Imperatif,Imperatif Présent,2s,plie
plier,Imperatif,Imperatif Présent,1p,plions
plier,Imperatif,Imperatif Présent,2p,pliez
plier,Participe,Participe Présent,,pliant
plier,Participe,Participe Passé,ms,plié
